Customer No.,Exposure at Default,Recovery,Probability of Default,Recovered Money
1880,21.05,20.89,0.0036,4.397345
1881,20.56,36.05,0.0021,7.41188
1882,15.6,0.81,0.0055,0.12636
1883,19.1,28.15,0.0067,5.37665
1884,21.96,12.67,0.0059,2.782332
1885,17.12,30.68,0.0016,5.252416
1886,6.4,17.35,0.0076,1.1104
1887,15.99,3.65,0.004,0.583635
1888,1.74,18,0.0095,0.3132
1889,16.42,24.59,0.0083,4.037678
1890,13.15,5.42,0.0013,0.71273
1891,12.49,20.41,0.0091,2.549209
1892,10.29,9.53,0.0009,0.980637
1893,4.34,3.74,0.0059,0.162316
1894,15.75,1.19,0.0025,0.187425
1895,13.95,17.4,0.0031,2.4273
1896,2.81,13.11,0.0025,0.368391
1897,2.32,23.75,0.0084,0.551
1898,4.87,10.33,0.0093,0.503071
1899,5.5,11.83,0.0049,0.65065
1900,19.58,17.91,0.0093,3.506778
1901,24.31,13.16,0.0059,3.199196
1902,14.14,24.52,0.0029,3.467128
1903,4.79,37.96,0.0074,1.818284
1904,18.27,38.31,0.0092,6.999237
1905,22.67,1.92,0.01,0.435264
1906,10.88,14.75,0.0019,1.6048
1907,15.05,11.8,0.0065,1.7759
1908,10.22,10.32,0.0069,1.054704
1909,1.1,20.06,0.0074,0.22066
1910,7.71,10.1,0.0096,0.77871
1911,21.13,20.91,0.0044,4.418283
1912,8.87,34.4,0.0062,3.05128
1913,8.14,20.85,0.0098,1.69719
1914,21.09,20.38,0.0039,4.298142
1915,21.26,37.64,0.0013,8.002264
1916,22.02,16.63,0.008,3.661926
1917,8.81,24.29,0.0011,2.139949
1918,21.11,36.86,0.0069,7.781146
1919,2.16,22.93,0.0046,0.495288
1920,9.49,3.22,0.0039,0.305578
1921,22.63,29.58,0.0091,6.693954
1922,1.02,5.45,0.004,0.05559
1923,9.29,27.45,0.0079,2.550105
1924,6.49,14.83,0.0098,0.962467
1925,10.36,2.8,0.0069,0.29008
1926,3.49,12.28,0.0093,0.428572
1927,19.34,36.73,0.0059,7.103582
1928,9.74,2.89,0.0085,0.281486
1929,6.94,18.32,0.0003,1.271408
1930,18.65,29.89,0.006,5.574485
1931,3.72,12.86,0.0051,0.478392
1932,7.57,38.61,0.0065,2.922777
1933,1.13,0.32,0.0071,0.003616
1934,8.01,8.74,0.0012,0.700074
1935,19.56,26.28,0.0057,5.140368
1936,3.54,36.92,0.0045,1.306968
1937,2.38,23.23,0.0011,0.552874
1938,16.58,32.62,0.0066,5.408396
1939,14.13,31.25,0.0021,4.415625
1940,3.98,30.26,0.0001,1.204348
1941,20.96,9.29,0.003,1.947184
1942,24.33,15.56,0.0073,3.785748
1943,12.46,27.27,0.009,3.397842
1944,16.71,8.36,0.0089,1.396956
1945,18.98,2.5,0.0012,0.4745
1946,20.42,7.87,0.0046,1.607054
1947,22.12,39.64,0.0003,8.768368
1948,2.94,13.22,0.0039,0.388668
1949,21.83,2.01,0.0097,0.438783
1950,10.76,20.55,0.0072,2.21118
1951,17.83,16.5,0.0097,2.94195
1952,7.23,3.03,0.0051,0.219069
1953,3.81,11.58,0.0019,0.441198
1954,7.69,20.35,0.0079,1.564915
1955,7.74,31.29,0.0043,2.421846
1956,6.58,28.53,0.0019,1.877274
1957,2.46,12.82,0.0091,0.315372
1958,22.25,0.02,0.0027,0.00445
1959,16.01,35.62,0.007,5.702762
1960,21.44,20.68,0.0046,4.433792
1961,5.57,9.18,0.0085,0.511326
1962,4.87,4.89,0.0064,0.238143
1963,12.4,32.46,0.0053,4.02504
1964,19.38,37.38,0.0092,7.244244
1965,18.3,7.8,0.0069,1.4274
1966,22.82,38.8,0.0033,8.85416
1967,2.55,35.23,0.0085,0.898365
1968,6.03,21.37,0.0045,1.288611
1969,12.21,18.55,0.0049,2.264955
1970,10.21,39.04,0.004,3.985984
1971,24.48,37.56,0.0062,9.194688
1972,0.55,28.35,0.0082,0.155925
1973,0.09,34.89,0.007,0.031401
1974,19.2,0.62,0.001,0.11904
1975,10.64,11.09,0.0006,1.179976
1976,4.89,6.52,0.0044,0.318828
1977,1.87,17.98,0.0076,0.336226
1978,22.33,16.46,0.0045,3.675518
1979,21.5,31.99,0.0069,6.87785
1980,23.28,12.83,0.0074,2.986824
1981,10.32,18.61,0.0085,1.920552
1982,12.49,32.59,0.0021,4.070491
1983,11.02,22.45,0.0069,2.47399
1984,22.49,31.65,0.0073,7.118085
1985,8.34,3.56,0.0089,0.296904
1986,19.41,31.49,0.003,6.112209
1987,15.75,10.9,0.0065,1.71675
1988,6.34,3.63,0.0052,0.230142
1989,23.24,29.57,0.0038,6.872068
1990,5.9,19.86,0.0005,1.17174
1991,2.45,8.23,0.0041,0.201635
1992,8.43,5.46,0.0037,0.460278
1993,22.16,17.13,0.0087,3.796008
1994,22.89,30.38,0.0034,6.953982
1995,13.91,26.28,0.0011,3.655548
1996,7.02,23.01,0.0027,1.615302
1997,11.7,6.65,0,0.77805
1998,21.24,0.67,0.0097,0.142308
1999,24.38,32.61,0.009,7.950318
2000,15.39,17.57,0.0099,2.704023
2001,1.94,11.16,0.0044,0.216504
2002,7.93,28.58,0.0062,2.266394
2003,12.97,9.83,0.0052,1.274951
2004,8.25,15.94,0.0057,1.31505
2005,8.64,33.83,0.01,2.922912
2006,5.67,2.61,0.0005,0.147987
2007,8.87,18.2,0.0027,1.61434
2008,17.68,33.91,0.0048,5.995288
2009,22.92,9.65,0.0074,2.21178
2010,19.57,20.57,0.0023,4.025549
2011,10.46,29.33,0.0076,3.067918
2012,7.76,22.9,0.0089,1.77704
2013,4.8,10.9,0.0056,0.5232
2014,20.06,24.38,0.0029,4.890628
2015,4.3,3.53,0.0007,0.15179
2016,17.42,18.84,0.0091,3.281928
2017,3.76,17.98,0.0018,0.676048
2018,8.07,28.52,0.0012,2.301564
2019,1.6,28.24,0.0047,0.45184
2020,7.76,15.12,0.0008,1.173312
2021,2.36,14.99,0.0093,0.353764
2022,13.37,3.71,0.0027,0.496027
2023,12.53,4.14,0.0005,0.518742
2024,23.33,6.92,0.0026,1.614436
2025,21.11,14.95,0.0013,3.155945
2026,15.8,8.89,0.009,1.40462
2027,20.75,24.68,0.0023,5.1211
2028,14.7,31.26,0.0084,4.59522
2029,4.2,32.55,0.003,1.3671
2030,7.32,9.73,0.0032,0.712236
2031,9.86,17.71,0.0006,1.746206
2032,19.24,31.41,0.0043,6.043284
2033,0.08,35.96,0.0024,0.028768
2034,1.19,28.94,0.0032,0.344386
2035,1.58,4.65,0.0027,0.07347
2036,23.19,4.42,0.006,1.024998
2037,11.3,13.83,0.0064,1.56279
2038,8.98,28.95,0.0095,2.59971
2039,22.21,30.34,0.0037,6.738514
2040,21.95,14.03,0.0077,3.079585
2041,14.28,36.17,0.0019,5.165076
2042,16.4,7.81,0.0003,1.28084
2043,15.22,1.67,0.0003,0.254174
2044,5.64,25.3,0.0097,1.42692
2045,24.02,28.54,0.0029,6.855308
2046,7.21,19,0.0002,1.3699
2047,9.86,29.55,0.0094,2.91363
2048,23.33,31.66,0.01,7.386278
2049,23.5,2.79,0.0037,0.65565
2050,6.52,6.42,0.0037,0.418584
2051,6.71,26.36,0.0085,1.768756
2052,7.18,15.93,0.0003,1.143774
2053,19.55,3.09,0.0084,0.604095
2054,14.05,6.68,0.0004,0.93854
2055,9.05,4.17,0.0023,0.377385
2056,18.51,30.03,0.001,5.558553
2057,1.78,15.49,0.0027,0.275722
2058,13.82,26.23,0.0085,3.624986
2059,19.81,37.27,0.0077,7.383187
2060,24.57,22.16,0.0013,5.444712
2061,11.16,26.38,0.0017,2.944008
2062,17.82,17.39,0.0064,3.098898
2063,5.77,8.8,0.0053,0.50776
2064,20.33,24.92,0.0054,5.066236
2065,12.44,27.54,0.0098,3.425976
2066,21.01,34.77,0.0046,7.305177
2067,23.81,28.66,0.006,6.823946
2068,22,29.82,0.0033,6.5604
2069,14.4,16.32,0.0021,2.35008
2070,5.08,17.75,0.0074,0.9017
2071,4.41,5.65,0.0055,0.249165
2072,1.35,23.45,0.0017,0.316575
2073,20.38,13.3,0.0002,2.71054
2074,10.84,17.08,0.0011,1.851472
2075,9.43,33.54,0.0018,3.162822
2076,18.25,12.1,0.0076,2.20825
2077,7.64,0.58,0.0084,0.044312
2078,7.21,33.28,0.0046,2.399488
2079,2.15,18.68,0.0006,0.40162
2080,13.65,3.9,0.0031,0.53235
2081,3.82,4.35,0.0086,0.16617
2082,5.13,0.87,0.0071,0.044631
2083,12.51,28.25,0.0028,3.534075
2084,0.62,39.47,0.0074,0.244714
2085,21.14,26.05,0.0043,5.50697
2086,8.55,14.29,0.0038,1.221795
2087,2.62,25.4,0.0025,0.66548
2088,3.62,21.18,0.0023,0.766716
2089,11.58,8.74,0.0002,1.012092
2090,20.62,30.89,0.005,6.369518
2091,10.33,2.13,0.0024,0.220029
2092,16.78,3.57,0.0039,0.599046
2093,5.25,22.44,0.0065,1.1781
2094,7.95,7.7,0.0052,0.61215
2095,19.25,29.74,0.0088,5.72495
2096,12.21,2.08,0.0096,0.253968
2097,18.77,25.11,0.0082,4.713147
2098,8.41,14.35,0.0086,1.206835
2099,11.04,39.84,0.0046,4.398336
2100,24.88,29.82,0.0099,7.419216
2101,17.41,9.41,0.0093,1.638281
2102,23.04,16.98,0.0017,3.912192
2103,16.13,4.24,0.0015,0.683912
2104,19.78,34.62,0.0051,6.847836
2105,16.4,29.22,0.0043,4.79208
2106,9.74,0.38,0.0028,0.037012
2107,3.32,15.62,0.0078,0.518584
2108,12.56,23.42,0.0005,2.941552
2109,3.87,8.5,0.0021,0.32895
2110,5.42,2.09,0.0014,0.113278
2111,13.94,9.02,0.0013,1.257388
2112,9.64,12.47,0.0031,1.202108
2113,1.88,29.81,0.0069,0.560428
2114,1.4,21.36,0.0051,0.29904
2115,5.95,0.7,0.0048,0.04165
2116,13.08,34.04,0.0037,4.452432
2117,9.55,7.99,0.008,0.763045
2118,24.05,6.3,0.0084,1.51515
2119,14.95,3.59,0.0035,0.536705
2120,17.09,20.54,0.0032,3.510286
2121,14.06,28.69,0.0012,4.033814
2122,11.33,36.63,0.0012,4.150179
2123,10.47,5.74,0.0098,0.600978
2124,2.57,4.2,0.002,0.10794
2125,21.53,0.01,0.0034,0.002153
2126,0.43,26.32,0.0053,0.113176
2127,18.36,27.76,0.0001,5.096736
2128,21.11,22.74,0.0099,4.800414
2129,1.34,30.69,0.0065,0.411246
2130,10.02,12.72,0.0038,1.274544
2131,15.47,22.39,0.0005,3.463733
2132,15.6,32.26,0.0066,5.03256
2133,8.99,6.66,0.0059,0.598734
2134,2.15,12.78,0.0022,0.27477
2135,12.78,17.23,0.0065,2.201994
2136,24.67,37.55,0.0041,9.263585
2137,20.58,28.38,0.0036,5.840604
2138,18.03,26.13,0.0011,4.711239
2139,12.34,23.06,0.0023,2.845604
2140,9.49,28.41,0.0024,2.696109
2141,22.26,36.74,0.002,8.178324
2142,5.98,23.31,0.0005,1.393938
2143,6.4,29.4,0.0098,1.8816
2144,11.31,15.43,0.003,1.745133
2145,3.3,10.57,0.0025,0.34881
2146,3.87,33.09,0.0068,1.280583
2147,18.45,1.55,0.001,0.285975
2148,7.31,33.3,0.0056,2.43423
2149,20.66,4.69,0.0001,0.968954
2150,23.95,9.78,0.0085,2.34231
2151,2.17,22.97,0.0007,0.498449
2152,15.12,37.58,0.0027,5.682096
2153,19.13,16.15,0.003,3.089495
2154,9.26,3.49,0.0057,0.323174
2155,16.09,14.2,0.0091,2.28478
2156,12.94,22.62,0.0025,2.927028
2157,10.75,38.9,0.006,4.18175
2158,12.25,36.24,0.0087,4.4394
2159,14.48,18.89,0.0029,2.735272
2160,9.38,24.4,0.0094,2.28872
2161,6.75,24.08,0.0069,1.6254
2162,17.96,12.22,0.0045,2.194712
2163,16.91,0.24,0.0021,0.040584
2164,11.84,23.47,0.0013,2.778848
2165,13.32,39.72,0.0046,5.290704
2166,11.4,19.74,0.0063,2.25036
2167,10.27,21.93,0.0011,2.252211
2168,12.27,30.91,0.0055,3.792657
2169,22.41,19.75,0.0057,4.425975
2170,23.84,18.65,0.001,4.44616
2171,4.21,4.61,0.0035,0.194081
2172,23.69,3.72,0.0007,0.881268
2173,19.25,23.16,0.0029,4.4583
2174,0.87,29.59,0.0076,0.257433
2175,13.4,2.26,0.007,0.30284
2176,9.32,17.14,0.0051,1.597448
2177,13.09,25.3,0.0063,3.31177
2178,6.72,2.4,0.0037,0.16128
2179,14.3,14.82,0.0077,2.11926
2180,7.01,15.68,0.0008,1.099168
2181,2.78,26.94,0.0099,0.748932
2182,15.9,2.29,0.0028,0.36411
2183,22.58,18.32,0.0002,4.136656
2184,9.05,25.19,0.0019,2.279695
2185,16.66,7.79,0.0093,1.297814
2186,5.46,5.83,0.0061,0.318318
2187,4.83,22.25,0.0044,1.074675
2188,11.38,13.16,0.001,1.497608
2189,14.96,3.2,0.0006,0.47872
2190,22.35,21.31,0.0053,4.762785
2191,9.79,19.29,0.0022,1.888491
2192,23.61,39.69,0.0059,9.370809
2193,19.97,4.58,0.0011,0.914626
2194,0.44,38.24,0.002,0.168256
2195,24.73,27.59,0.0011,6.823007
2196,4.45,16.15,0,0.718675
2197,13.48,14.06,0.0076,1.895288
2198,21.73,12.53,0.0015,2.722769
2199,10.94,4.2,0.0035,0.45948
2200,4.04,19.52,0.0065,0.788608
2201,19.08,9.56,0.0005,1.824048
2202,12.84,28.83,0.0058,3.701772
2203,14.42,12.69,0.002,1.829898
2204,4.48,33.09,0.0096,1.482432
2205,4.09,27.34,0,1.118206
2206,9.04,6.71,0.01,0.606584
2207,11.14,36.11,0.0025,4.022654
2208,22.88,15.67,0.0028,3.585296
2209,16.45,31.78,0.0091,5.22781
2210,11.73,38.23,0.0064,4.484379
2211,7.33,0.68,0.0037,0.049844
2212,14.93,32.52,0.0008,4.855236
2213,10.7,0.63,0.0066,0.06741
2214,3.96,32.82,0.0063,1.299672
2215,1.49,37.79,0.0026,0.563071
2216,10.51,30.14,0.0073,3.167714
2217,14.19,3.75,0.0001,0.532125
2218,19.79,27.35,0.0064,5.412565
2219,24.04,23.75,0.0003,5.7095
2220,10.45,37.88,0.0072,3.95846
2221,22.62,1.68,0.0004,0.380016
2222,2.44,16.96,0.0012,0.413824
2223,11.28,17.79,0.0012,2.006712
2224,13.88,9.65,0.0096,1.33942
2225,13.91,38.17,0.0005,5.309447
2226,2.03,30.33,0.0001,0.615699
2227,5.13,29.17,0.0011,1.496421
2228,14.54,8.09,0.0016,1.176286
2229,18.23,20.96,0.0002,3.821008
2230,13.99,13.34,0.0032,1.866266
2231,15.41,5.82,0.0056,0.896862
2232,3.46,8.69,0.0002,0.300674
2233,13.38,29.41,0.0073,3.935058
2234,19.08,32.95,0.0099,6.28686
2235,2.16,0.14,0.0064,0.003024
2236,19.92,22.58,0.0079,4.497936
2237,5.86,8.5,0.0064,0.4981
2238,14.83,5.98,0.0098,0.886834
2239,1.42,24.19,0.0081,0.343498
2240,12.31,19.21,0.0078,2.364751
2241,22.05,25.7,0.0034,5.66685
2242,15.13,6.6,0.0061,0.99858
2243,12.6,0.77,0.004,0.09702
2244,11.58,27.38,0.0009,3.170604
2245,16.28,33.98,0.0093,5.531944
2246,8.16,17.89,0.0076,1.459824
2247,18.4,32.77,0.004,6.02968
2248,14.22,4.68,0.0013,0.665496
2249,10.22,31.6,0.0094,3.22952
2250,9.43,39.08,0.0064,3.685244
2251,1.29,0.38,0.0042,0.004902
2252,15.13,15.31,0.0039,2.316403
2253,22.37,27.59,0.0092,6.171883
2254,1.24,15.37,0.007,0.190588
2255,10.64,19.8,0.0084,2.10672
2256,2.66,35.44,0.005,0.942704
2257,6.24,12.89,0.0012,0.804336
2258,11.35,8.48,0.0034,0.96248
2259,5.94,8.28,0.0047,0.491832
2260,16.06,18.78,0.008,3.016068
2261,8.34,29.33,0.0052,2.446122
2262,2.82,23.19,0.0061,0.653958
2263,4.14,14.42,0.0078,0.596988
2264,13.81,0.8,0.0084,0.11048
2265,17.38,38.57,0.0012,6.703466
2266,17.6,14.57,0.003,2.56432
2267,14.82,17.29,0.0038,2.562378
2268,14.31,25.84,0.0081,3.697704
2269,11.56,30.1,0.0084,3.47956
2270,19.5,34.01,0.0047,6.63195
2271,3.37,4.75,0.0091,0.160075
2272,22.98,21.56,0.006,4.954488
2273,10.49,3.48,0.0083,0.365052
2274,18.31,30.46,0.0059,5.577226
2275,4.78,19.92,0.0044,0.952176
2276,22.47,26.32,0.0085,5.914104
2277,24.7,19.28,0.007,4.76216
2278,9.31,20.72,0.0037,1.929032
2279,15.89,0.59,0.0028,0.093751
2280,11.12,33.03,0.0056,3.672936
2281,17.13,3.29,0.0005,0.563577
2282,6.3,11.38,0.0041,0.71694
2283,19.75,26,0.0063,5.135
2284,8.44,38.37,0.0042,3.238428
2285,14.16,6.87,0.0082,0.972792
2286,16.69,12.56,0.004,2.096264
2287,3.74,16.01,0.0043,0.598774
2288,3.76,11.43,0.0089,0.429768
2289,11.45,7.34,0.0039,0.84043
2290,21.45,18.96,0.0046,4.06692
2291,10.98,37.04,0.0089,4.066992
2292,19.23,2.26,0.0083,0.434598
2293,9.68,33.93,0.0087,3.284424
2294,15.81,15.4,0.0071,2.43474
2295,3.14,4.94,0.0002,0.155116
2296,24.12,22.66,0.0056,5.465592
2297,8.8,15.35,0.005,1.3508
2298,11.5,24.55,0.0045,2.82325
2299,18.78,16.63,0.0001,3.123114
2300,17.81,18.06,0.0081,3.216486
2301,15.37,37.81,0.0045,5.811397
2302,7.16,28.55,0.0018,2.04418
2303,0.41,34.78,0.007,0.142598
2304,12.11,11.49,0.0035,1.391439
2305,24.9,31.07,0.0047,7.73643
2306,0.75,26.56,0.0064,0.1992
2307,1.28,22.51,0.0023,0.288128
2308,14.57,38.82,0.005,5.656074
2309,6.27,39.04,0.0073,2.447808
2310,8.76,25.67,0.0089,2.248692
2311,22.32,38.41,0.0025,8.573112
2312,12.52,31.87,0.0048,3.990124
2313,11.75,18.18,0.0061,2.13615
2314,7.52,7.94,0.004,0.597088
2315,11.81,37.28,0.0076,4.402768
2316,1.76,39.7,0.0099,0.69872
2317,21.43,20.06,0.0018,4.298858
2318,24.49,32.41,0.0012,7.937209
2319,0.95,28.8,0.0067,0.2736
2320,17.48,15.81,0.0028,2.763588
2321,24.07,39.49,0.0004,9.505243
2322,8.73,22.9,0.0059,1.99917
2323,8.08,25.38,0.0006,2.050704
2324,3.95,11.07,0.0061,0.437265
2325,0.03,33.68,0.002,0.010104
2326,4.85,16.66,0.0036,0.80801
2327,5.31,24.08,0.0018,1.278648
2328,16.57,7.03,0.001,1.164871
2329,10.01,20.27,0.0045,2.029027
2330,9.77,18.55,0.004,1.812335
2331,12.22,30.07,0.0018,3.674554
2332,7.75,34.14,0.0049,2.64585
2333,23.78,21.57,0.0082,5.129346
2334,18.92,34.02,0.0029,6.436584
2335,17.84,30.54,0.0088,5.448336
2336,14.39,34.39,0.0077,4.948721
2337,0.38,21.93,0.0036,0.083334
2338,18.01,32.94,0.0012,5.932494
2339,3.92,21.59,0.0015,0.846328
2340,5.5,38.18,0.0006,2.0999
2341,18.78,30.08,0.0001,5.649024
2342,19.06,15.13,0.0045,2.883778
2343,8.79,15.39,0.0011,1.352781
2344,14.51,7.64,0.0097,1.108564
2345,10.86,29.37,0.0055,3.189582
2346,9.99,6.9,0.0041,0.68931
2347,9.46,34.77,0.0046,3.289242
2348,11.74,16.47,0.0015,1.933578
2349,13.77,19.24,0.0004,2.649348
2350,10.77,26.22,0.0007,2.823894
2351,23.09,16.37,0,3.779833
2352,23.62,32.52,0.0051,7.681224
2353,16.11,5.08,0.0087,0.818388
2354,4.19,27.25,0.0027,1.141775
2355,3.35,24.48,0.0015,0.82008
2356,2.61,21.62,0.0013,0.564282
2357,20.69,0,0.0006,0
2358,5.79,4.04,0.006,0.233916
2359,22.84,17.79,0.0007,4.063236
2360,18.21,19.49,0.0082,3.549129
2361,13.16,37.58,0.0043,4.945528
2362,7.51,35.5,0.0079,2.66605
2363,14.5,3.85,0.0095,0.55825
2364,0.98,37.25,0.0081,0.36505
2365,24.66,4.37,0.0014,1.077642
2366,6.56,17.36,0.0009,1.138816
2367,17.74,38.17,0.0065,6.771358
2368,1.56,31.65,0.0006,0.49374
2369,8.01,37.72,0.0061,3.021372
2370,22.97,5.45,0.0013,1.251865
2371,8.88,13.67,0.0078,1.213896
2372,3.7,37.96,0.0046,1.40452
2373,3.6,13.48,0.0015,0.48528
2374,3.61,1.12,0.0056,0.040432
2375,11.21,19.34,0.0047,2.168014
2376,17.47,2.65,0.0045,0.462955
2377,23.29,20.67,0.0059,4.814043
2378,15.69,1.25,0.0086,0.196125
2379,22.74,38.95,0.0007,8.85723
2380,14.09,0.12,0.0027,0.016908
2381,20.97,37.64,0.0052,7.893108
2382,24.29,5.21,0.0042,1.265509
2383,4.49,16.13,0.0062,0.724237
2384,12.07,38.76,0.0027,4.678332
2385,4.51,12.84,0.0016,0.579084
2386,13.56,14.73,0.0009,1.997388
2387,15.86,18.75,0.0048,2.97375
2388,5.44,27.93,0.0036,1.519392
2389,17.07,38.61,0.0014,6.590727
2390,24.8,0.27,0.0071,0.06696
2391,15.58,26.82,0.0051,4.178556
2392,8.97,8.79,0.0075,0.788463
2393,20.93,38.44,0.002,8.045492
2394,15.3,7.26,0.0048,1.11078
2395,9.21,5.01,0.0023,0.461421
2396,14.17,7.97,0.0063,1.129349
2397,2.95,1.56,0.0058,0.04602
2398,0.64,37.42,0.0096,0.239488
2399,1,0.35,0.0001,0.0035
2400,17.13,26.63,0.0057,4.561719
2401,6,32.73,0.009,1.9638
2402,12.05,4.17,0.0054,0.502485
2403,0.84,8.46,0.0072,0.071064
2404,21.57,21.61,0.0029,4.661277
2405,11.74,28.67,0.0049,3.365858
2406,1.57,16,0.0082,0.2512
2407,1.27,27.86,0.0031,0.353822
2408,4.35,2.63,0.0001,0.114405
2409,15.01,15.83,0.0051,2.376083
2410,3.38,38.18,0.0029,1.290484
2411,16.82,19.43,0.0057,3.268126
2412,0.01,6.3,0.001,0.00063
2413,17.35,2.19,0.0092,0.379965
2414,16.42,23.36,0.0071,3.835712
2415,24.69,15.26,0.0008,3.767694
2416,4.29,8.85,0.0067,0.379665
2417,24.44,31.81,0.0009,7.774364
2418,7.32,3.74,0.0093,0.273768
2419,4.58,17.04,0.0027,0.780432
2420,18.31,23.14,0.0054,4.236934
2421,17.31,31,0.0048,5.3661
2422,6.39,24.78,0.0088,1.583442
2423,11.88,6.84,0.0057,0.812592
2424,8.06,33.9,0.0065,2.73234
2425,13.87,13.7,0.0013,1.90019
2426,12.82,4.11,0.0034,0.526902
2427,8.84,10.37,0.0088,0.916708
2428,0.61,20.05,0.0032,0.122305
2429,21.67,6.32,0.0077,1.369544
2430,7.46,29.27,0.0038,2.183542
2431,3.78,28.64,0.0062,1.082592
2432,10.22,25.94,0.0006,2.651068
2433,11.62,4.8,0.0056,0.55776
2434,15.1,20.63,0.0079,3.11513
2435,18.94,8.57,0.0098,1.623158
2436,9.56,32.05,0.0063,3.06398
2437,7.5,32.62,0.0067,2.4465
2438,4.02,22.43,0.0043,0.901686
2439,23.69,36.34,0.0011,8.608946
2440,5.47,19.91,0.0029,1.089077
2441,10.41,22.13,0.0069,2.303733
2442,2.58,32.02,0.0021,0.826116
2443,16.55,29.93,0.0085,4.953415
2444,11.21,21.79,0.0094,2.442659
2445,9.42,38.95,0.007,3.66909
2446,5.26,23.25,0.0044,1.22295
2447,21.2,2.17,0.0002,0.46004
2448,0.02,6.96,0.0042,0.001392
2449,22.2,9.01,0.0008,2.00022
2450,21.66,24.9,0.0092,5.39334
2451,11.73,14.31,0.0061,1.678563
2452,8.22,22.95,0.0098,1.88649
2453,7.95,39.93,0.0074,3.174435
2454,24.72,19.02,0.0022,4.701744
2455,15.36,10.19,0.0096,1.565184
2456,16.3,22.48,0.0044,3.66424
2457,8.67,20.8,0.003,1.80336
2458,4.16,17.75,0.0048,0.7384
2459,19.95,4.55,0.004,0.907725
2460,0.83,7.74,0.0036,0.064242
2461,13.87,10.62,0.0088,1.472994
2462,17.87,5.9,0.0047,1.05433
2463,3.82,38.53,0.0083,1.471846
2464,17.44,36.08,0.0052,6.292352
2465,7.16,35.61,0.0049,2.549676
2466,3.1,7.39,0.0071,0.22909
2467,14.82,29.48,0.0007,4.368936
2468,10.93,25.83,0.0005,2.823219
2469,6.83,28.29,0.0083,1.932207
2470,4.73,20.76,0.0052,0.981948
2471,9.04,8.21,0.0084,0.742184
2472,7.89,24.3,0.0067,1.91727
2473,10.43,21.93,0.0042,2.287299
2474,22.4,18.38,0.0016,4.11712
2475,21.08,37.86,0.0003,7.980888
2476,20.91,25.92,0.0094,5.419872
2477,0.15,22.57,0.0021,0.033855
2478,14.22,13.45,0.0009,1.91259
2479,11.64,4.05,0.006,0.47142
2480,3.08,12.3,0.0086,0.37884
2481,16.38,0.9,0.0007,0.14742
2482,8.02,4.96,0.0051,0.397792
2483,8.3,5.88,0.0041,0.48804
2484,0.18,23,0.0039,0.0414
2485,13.07,6.79,0.0014,0.887453
2486,24.36,32.67,0.0085,7.958412
2487,22.82,18.55,0.0043,4.23311
2488,19.72,6.58,0.0042,1.297576
2489,13.36,1,0.0023,0.1336
2490,21.29,37.23,0.0095,7.926267
2491,14.96,30.9,0.0025,4.62264
2492,11.53,16.14,0.0026,1.860942
2493,20.54,27.42,0.0047,5.632068
2494,4.05,11.46,0.0074,0.46413
2495,10.08,7.65,0.0099,0.77112
2496,7.59,4.17,0.0093,0.316503
2497,22.41,18.55,0.0089,4.157055
2498,9.59,22.45,0.006,2.152955
2499,18.12,18.89,0.0085,3.422868
2500,17.14,24,0.0008,4.1136
2501,22.74,9.41,0.0068,2.139834
2502,22.4,25.6,0.0047,5.7344
2503,2.85,12.04,0.0048,0.34314
2504,9.74,4.38,0.0032,0.426612
2505,13.25,5.6,0.0099,0.742
2506,11,32.94,0.0036,3.6234
2507,2.3,0.65,0.0036,0.01495
2508,19.58,19.73,0.0064,3.863134
2509,0.91,36.35,0.0036,0.330785
2510,6.64,36.16,0.0055,2.401024
2511,14.86,35.61,0.0021,5.291646
2512,2.68,30.11,0.004,0.806948
2513,4.11,39.11,0.008,1.607421
2514,17.9,1.24,0.0093,0.22196
2515,9.31,8.9,0.0092,0.82859
2516,22.68,31.82,0.009,7.216776
2517,21.43,23.05,0.0031,4.939615
2518,4.13,19.27,0.0054,0.795851
2519,10.89,25.57,0.0069,2.784573
2520,15.53,33.03,0.0035,5.129559
2521,4.93,3.66,0.0097,0.180438
2522,8.04,25.87,0.0074,2.079948
2523,1,10.66,0.0047,0.1066
2524,3.72,22.92,0.0089,0.852624
2525,2.18,36.51,0.0073,0.795918
2526,1.41,18.22,0.0099,0.256902
2527,10.64,18.52,0.0092,1.970528
2528,2.9,32.38,0.0046,0.93902
2529,17.67,26.21,0.0093,4.631307
2530,20.37,4.94,0.0027,1.006278
2531,4.18,34.85,0.0052,1.45673
2532,15.65,17.82,0.008,2.78883
2533,17.44,32.86,0.0072,5.730784
2534,17.39,24.32,0.0048,4.229248
2535,1.76,36.05,0.0007,0.63448
2536,23.44,37.32,0.0032,8.747808
2537,19.97,9.57,0.0073,1.911129
2538,20.14,23.67,0.0044,4.767138
2539,0.16,39.67,0.0095,0.063472
2540,4.88,18.5,0.006,0.9028
2541,7.35,21.97,0.0053,1.614795
2542,14.13,33.93,0.0005,4.794309
2543,5.61,0.46,0.0063,0.025806
2544,12.52,39.17,0.0049,4.904084
2545,21.83,3.03,0.0056,0.661449
2546,21.39,13.23,0.0085,2.829897
2547,24.23,6.15,0.0048,1.490145
2548,22.12,28.72,0.0059,6.352864
2549,19.89,16.13,0.0043,3.208257
